"id","login","imie","nazwisko","department_id","status"
288,"ajabło","Adam","Jabłoński",9,"aktywny"
289,"aurbań","Artur","Urbański",8,"aktywny"
290,"mbrzez","Marek","Brzeziński",10,"aktywny"
291,"mczarn","Michał","Czarnecki",2,"aktywny"
292,"mwiśni","Marzena","Wiśniewska",5,"aktywny"
293,"eziółk","Edyta","Ziółkowska",9,"aktywny"
294,"awróbe","Agata","Wróbel",6,"nieaktywny"
296,"sczajk","Sebastian","Czajka",10,"aktywny"
297,"awójci","Aleksandra","Wójcik",7,"aktywny"
298,"iszulc","Ireneusz","Szulc",7,"aktywny"
299,"wczarn","Wioletta","Czarnecka",1,"aktywny"
300,"pmróz","Patryk","Mróz",2,"nieaktywny"
301,"dkrupa","Dorota","Krupa",1,"aktywny"
302,"abaran","Arkadiusz","Baranowski",7,"aktywny"
303,"dpawli","Daniel","Pawlik",10,"aktywny"
304,"spawło","Sebastian","Pawłowski",7,"aktywny"
305,"kzakrz","Kamila","Zakrzewska",1,"aktywny"
307,"wzalew","Weronika","Zalewska",4,"aktywny"
309,"jleśni","Jakub","Leśniak",1,"aktywny"
310,"mmacie","Michał","Maciejewski",8,"aktywny"
311,"pwalcz","Paulina","Walczak",7,"aktywny"
312,"gandrz","Grzegorz","Andrzejewski",4,"nieaktywny"
102,"jrożek","Jan","Rożek",6,"aktywny"
103,"rgórsk","Robert","Górski",4,"aktywny"
122,"eszcze","Elżbieta","Szczepańska ",6,"aktywny"
314,"mpająk","Marta","Pająk",9,"zablokowany"
316,"lgajew","Leszek","Gajewski",2,"aktywny"
317,"imarci","Irena","Marciniak",10,"aktywny"
318,"akozło","Andrzej","Kozłowski",3,"aktywny"
319,"rmikoł","Renata","Mikołajczyk",1,"aktywny"
321,"jkołod","Janusz","Kołodziejczyk ",4,"aktywny"
322,"epająk","Elżbieta","Pająk",7,"aktywny"
324,"dkrawc","Dominika","Krawczyk",8,"aktywny"
326,"kmikoł","Krzysztof","Mikołajczak",8,"aktywny"
328,"apawla","Aleksandra","Pawlak ",10,"aktywny"
329,"asikor","Anna Maria","Sikora",3,"aktywny"
330,"sżukow","Sebastian","Żukowski",3,"nieaktywny"
332,"ksobol","Krystian","Sobolewski ",1,"aktywny"
333,"achrza","Anna Maria","Chrzanowska",6,"aktywny"
334,"emikoł","Emilia","Mikołajczyk",5,"aktywny"
336,"tjanow","Tadeusz","Janowski ",3,"aktywny"
338,"jurban","Julia","Urbaniak",2,"aktywny"
340,"mczerw","Maria","Czerwińska",5,"nieaktywny"
341,"pjabło","Patryk","Jabłoński",5,"nieaktywny"
342,"pmrozo","Patryk","Mrozowski ",10,"aktywny"
343,"istola","Ireneusz","Stolarczyk ",3,"aktywny"
344,"gmicha","Gabriela","Michalak ",4,"aktywny"
345,"ikrzes","Igor","Krzesiński",3,"aktywny"
348,"ljanik","Leszek","Janik",4,"aktywny"
350,"rpawło","Robert","Pawłowski",3,"aktywny"
352,"hwiśni","Henryk","Wiśniewski",7,"aktywny"
353,"pjanik","Piotr","Janik",9,"aktywny"
356,"mmazur","Marta","Mazur",1,"aktywny"
357,"dwesoł","Dorota","Wesołowska",5,"nieaktywny"
359,"lstola","Leszek","Stolarczyk ",10,"aktywny"
361,"slis","Szymon","Lis",2,"nieaktywny"
363,"gpawla","Grażyna","Pawlak ",1,"nieaktywny"
364,"kkaczm","Karolina","Kaczmarczyk",8,"aktywny"
366,"pskals","Patryk","Skalski",9,"aktywny"
367,"amazur","Adam","Mazurek",8,"aktywny"
368,"awrona","Adam","Wrona ",1,"aktywny"
370,"bsosno","Bartosz","Sosnowski",7,"aktywny"
371,"gwesoł","Grzegorz","Wesołowski",4,"aktywny"
372,"knowak","Krzysztof","Nowakowski",3,"aktywny"
375,"rjasiń","Ryszard","Jasiński",7,"aktywny"
642,"rjanko","Renata","Jankowska",9,"aktywny"
409,"rolsze","Ryszard","Olszewski",4,"nieaktywny"
412,"mborow","Mateusz","Borowski",9,"aktywny"
413,"mkowal","Marzena","Kowalczyk",9,"aktywny"
414,"mzalew","Marta","Zalewska",9,"nieaktywny"
417,"agrabo","Artur","Grabowski",1,"aktywny"
419,"msikor","Marzena","Sikorska ",9,"aktywny"
421,"rkowal","Renata","Kowalczyk",3,"aktywny"
423,"mstępi","Mateusz","Stępień",4,"aktywny"
424,"akrzes","Arkadiusz","Krzesiński",1,"aktywny"
427,"mszymc","Marek","Szymczak ",5,"aktywny"
430,"twesoł","Tadeusz","Wesołowski",4,"nieaktywny"
431,"durban","Dominika","Urbaniak",5,"aktywny"
434,"aszyma","Anna Maria","Szymańska",6,"aktywny"
435,"pzalew","Patryk","Zalewski",6,"aktywny"
436,"tzalew","Tomasz","Zalewski",7,"aktywny"
438,"pbąkow","Patryk","Bąkowski",5,"aktywny"
439,"jzieli","Joanna","Zielińska",9,"nieaktywny"
441,"njanko","Norbert","Jankowski",1,"aktywny"
443,"gmalin","Grzegorz","Malinowski",4,"aktywny"
444,"dadamc","Dariusz","Adamczak",9,"aktywny"
447,"tgłowa","Tomasz","Głowacki",8,"aktywny"
448,"mjastr","Maria","Jastrzębska ",3,"nieaktywny"
450,"wwrona","Waldemar","Wrona ",7,"aktywny"
451,"bgórec","Barbara","Górecka",4,"aktywny"
452,"emakow","Ewelina","Makowska",2,"nieaktywny"
454,"jszulc","Jacek","Szulc",5,"aktywny"
455,"pwoźni","Patrycja","Woźniak",3,"aktywny"
458,"ewalcz","Edyta","Walczak",7,"aktywny"
461,"cskowr","Cezary","Skowroński",1,"aktywny"
462,"awiśni","Adrian","Wiśniewski",4,"nieaktywny"
463,"kmazur","Kinga","Mazur",5,"aktywny"
465,"rtomcz","Robert","Tomczak",6,"aktywny"
466,"jjaros","Jacek","Jarosz",5,"aktywny"
467,"jsobcz","Justyna","Sobczak",6,"aktywny"
468,"łpiotr","Łukasz","Piotrowski",6,"aktywny"
470,"kmacie","Karolina","Maciejewska",1,"aktywny"
471,"ajanko","Agnieszka","Jankowska",8,"aktywny"
472,"mwesoł","Marta","Wesołowska",2,"aktywny"
473,"kstank","Kinga","Stankiewicz",4,"aktywny"
474,"emazur","Elżbieta","Mazur",3,"aktywny"
476,"pkaczm","Paulina","Kaczmarek",1,"nieaktywny"
477,"agłowa","Anita","Głowacka",1,"aktywny"
479,"nbaran","Natalia","Baran",3,"aktywny"
480,"wświde","Wojciech","Świderski ",1,"aktywny"
481,"arosiń","Anna Maria","Rosińska",9,"aktywny"
482,"mmakow","Marta","Makowska",8,"aktywny"
483,"wsobcz","Weronika","Sobczak",5,"nieaktywny"
484,"kwłoda","Kamila","Włodarczyk ",8,"aktywny"
485,"ppasie","Paulina","Pasieka",8,"aktywny"
486,"mleszc","Mateusz","Leszczyński",8,"aktywny"
487,"mrogow","Mariusz","Rogowski",7,"aktywny"
489,"dzalew","Daniel","Zalewski",3,"nieaktywny"
490,"mjaros","Marek","Jarosz",3,"nieaktywny"
492,"kszyma","Karolina","Szymańska",7,"aktywny"
493,"rświde","Rafał","Świderski ",9,"aktywny"
494,"mwrona","Mirosław","Wrona ",4,"aktywny"
495,"agrzyb","Agnieszka","Grzybowska",5,"aktywny"
496,"ppolak","Piotr","Polak",7,"nieaktywny"
497,"kszewc","Kamila","Szewczyk",4,"aktywny"
498,"iwłoda","Igor","Włodarczyk",9,"aktywny"
499,"rtarno","Radosław","Tarnowski",4,"nieaktywny"
500,"jstola","Jacek","Stolarczyk ",1,"nieaktywny"
501,"kpasie","Karolina","Pasieka",1,"aktywny"
502,"tnowic","Teresa","Nowicka",5,"nieaktywny"
503,"rkrzes","Ryszard","Krzesiński",4,"aktywny"
504,"dkałuż","Dariusz","Kałuża ",10,"aktywny"
505,"gmrozo","Grzegorz","Mrozowski ",9,"aktywny"
506,"dborow","Dariusz","Borowicz ",1,"nieaktywny"
508,"mżukow","Marek","Żukowski",8,"aktywny"
509,"ikrawc","Ireneusz","Krawczak",5,"nieaktywny"
510,"nchmie","Norbert","Chmiel ",6,"aktywny"
512,"ssobol","Sylwia","Sobolewska",4,"nieaktywny"
514,"jkrzes","Jarosław","Krzesiński",2,"aktywny"
515,"gmarci","Gabriela","Marciniak",2,"aktywny"
516,"polsze","Paweł","Olszewski",9,"aktywny"
517,"kmakow","Kazimierz","Makowski",1,"aktywny"
519,"hjanik","Henryk","Janik",9,"aktywny"
521,"jkrupa","Julia","Krupa",8,"aktywny"
522,"ljasiń","Leszek","Jasiński",7,"nieaktywny"
523,"ezawad","Emilia","Zawadzka",2,"aktywny"
524,"itomcz","Igor","Tomczak",2,"aktywny"
525,"iczerw","Iwona","Czerwińska",4,"aktywny"
526,"kwojci","Karolina","Wojciechowska",3,"aktywny"
527,"pdudek","Patrycja","Dudek",8,"aktywny"
528,"apasie","Anna Maria","Pasieka",7,"aktywny"
529,"rbaran","Ryszard","Baranowski",1,"aktywny"
530,"jłucza","Julia","Łuczak",2,"aktywny"
531,"mkubic","Marzena","Kubicka",1,"aktywny"
532,"isosno","Ireneusz","Sosnowski",1,"aktywny"
533,"dgłowa","Damian","Głowacki",6,"aktywny"
534,"jbrzez","Jacek","Brzeziński",7,"aktywny"
535,"jmalin","Janusz","Malinowski",1,"aktywny"
537,"izawad","Izabela","Zawadzka",8,"aktywny"
538,"kwesoł","Katarzyna","Wesołowska",6,"aktywny"
542,"ssikor","Sylwia","Sikora",9,"aktywny"
543,"mmikoł","Marzena","Mikołajczyk",9,"aktywny"
544,"mmadej","Marzena","Madej",6,"aktywny"
546,"zskiba","Zbigniew","Skiba",3,"aktywny"
547,"mskals","Mariusz","Skalski",5,"aktywny"
548,"jurbań","Jarosław","Urbański",9,"aktywny"
549,"awłoda","Anna Maria","Włodarczyk ",5,"aktywny"
550,"uwilk","Urszula","Wilk",3,"aktywny"
551,"epiotr","Ewelina","Piotrowska",4,"aktywny"
552,"akwiat","Agnieszka","Kwiatkowska",1,"aktywny"
554,"awalcz","Anita","Walczak",6,"aktywny"
555,"abedna","Aleksandra","Bednarska",2,"aktywny"
556,"jzakrz","Jakub","Zakrzewski",5,"aktywny"
557,"jwiśni","Janusz","Wiśniewski",8,"aktywny"
558,"jzawad","Julia","Zawadzka",1,"aktywny"
560,"mduda","Monika","Duda",9,"aktywny"
564,"hcieśl","Henryk","Cieślak",10,"aktywny"
565,"ekozak","Elżbieta","Kozak",2,"aktywny"
566,"dstępi","Daniel","Stępień",3,"aktywny"
567,"aczarn","Aleksandra","Czarnecka",1,"aktywny"
569,"krogow","Kacper","Rogowski",7,"aktywny"
570,"anowak","Agata","Nowak",6,"aktywny"
573,"dszymc","Daniel","Szymczak ",10,"nieaktywny"
574,"mmalin","Mariusz","Malinowski",7,"nieaktywny"
575,"mwróbe","Maria","Wróbel",4,"aktywny"
577,"akaczm","Aleksandra","Kaczmarczyk",9,"aktywny"
578,"mkról","Małgorzata","Król",7,"nieaktywny"
579,"amikoł","Agnieszka","Mikołajczyk",10,"aktywny"
583,"dzawad","Dorota","Zawadzka",8,"aktywny"
584,"iwitko","Irena","Witkowska",5,"aktywny"
585,"łkwiat","Łukasz","Kwiatkowski",8,"aktywny"
586,"zgórsk","Zbigniew","Górski",3,"aktywny"
587,"kmalin","Katarzyna","Malinowska",6,"aktywny"
588,"mkrawc","Małgorzata","Krawczyk",3,"aktywny"
590,"jzając","Joanna","Zając",7,"aktywny"
591,"jkubic","Jan","Kubicki",6,"aktywny"
592,"aolsze","Alicja","Olszewska",1,"aktywny"
593,"mzając","Monika","Zając",8,"aktywny"
596,"ilewan","Ireneusz","Lewandowski",4,"nieaktywny"
597,"wżukow","Waldemar","Żukowski",1,"aktywny"
599,"gkrzes","Grzegorz","Krzesiński",8,"aktywny"
600,"bgłowa","Beata","Głowacka",1,"aktywny"
601,"kkraje","Klaudia","Krajewska ",9,"aktywny"
602,"molsze","Monika","Olszewska",6,"nieaktywny"
603,"kłukas","Katarzyna","Łukasik",1,"aktywny"
604,"mcieśl","Michał","Cieślik ",4,"aktywny"
605,"aszulc","Adam","Szulc",10,"aktywny"
606,"apasze","Andrzej","Paszek",8,"aktywny"
610,"atomas","Agata","Tomaszewska",2,"aktywny"
611,"skania","Sebastian","Kania",4,"aktywny"
613,"mświde","Marek","Świderski ",2,"aktywny"
614,"akrupa","Anna","Krupa",4,"aktywny"
615,"csikor","Cezary","Sikorski",4,"aktywny"
617,"msobol","Magdalena","Sobolewska",6,"nieaktywny"
618,"wmarci","Wioletta","Marciniak",4,"aktywny"
619,"jpasze","Janusz","Paszek",3,"aktywny"
620,"rleśni","Radosław","Leśniak",9,"aktywny"
623,"dolsze","Dariusz","Olszewski",6,"aktywny"
662,"jszewc","Justyna","Szewczyk",4,"aktywny"
682,"ałucza","Agata","Łuczak",9,"nieaktywny"
745,"pmakow","Patrycja","Makowska",7,"aktywny"
746,"ujasiń","Urszula","Jasińska",10,"aktywny"
747,"jborko","Jakub","Borkowski ",6,"aktywny"
749,"rjóźwi","Robert","Jóźwiak ",2,"aktywny"
750,"jrogow","Jan","Rogowski",8,"nieaktywny"
782,"rcieśl","Radosław","Cieślak",3,"nieaktywny"
784,"ltarno","Leszek","Tarnowski",1,"aktywny"
785,"pwojci","Paulina","Wojciechowska",3,"aktywny"
822,"jtomcz","Jarosław","Tomczak",8,"aktywny"
847,"eszyma","Ewa","Szymańska",9,"aktywny"
846,"bmikoł","Bartłomiej","Mikołajczak",9,"aktywny"
848,"iwiśni","Irena","Wiśniewska",10,"aktywny"
850,"swilk","Sylwia","Wilk",9,"nieaktywny"
308,"akraje","Alicja","Krajewska ",10,"nieaktywny"
313,"agórec","Agnieszka","Górecka",2,"aktywny"
162,"mtomcz","Marcin","Tomczak",6,"nieaktywny"
315,"hstola","Henryk","Stolarczyk ",4,"aktywny"
320,"jpolak","Jarosław","Polak",2,"aktywny"
323,"ibedna","Igor","Bednarski",2,"nieaktywny"
327,"alewan","Alicja","Lewandowska",6,"aktywny"
331,"jleszc","Jakub","Leszczyński",8,"zablokowany"
335,"adąbro","Anita","Dąbrowska",9,"aktywny"
339,"mmajew","Mirosław","Majewski",9,"aktywny"
202,"wwawrz","Weronika","Wawrzyniak",5,"aktywny"
346,"mjasiń","Magdalena","Jasińska",9,"aktywny"
351,"twróbl","Tadeusz","Wróblewski",10,"aktywny"
355,"akowal","Anna","Kowalska",1,"aktywny"
358,"wurban","Weronika","Urbaniak",1,"aktywny"
362,"ibaran","Izabela","Baran",2,"aktywny"
365,"amicha","Adam","Michalski",5,"aktywny"
369,"kbaran","Klaudia","Baran",3,"aktywny"
373,"gjaros","Grzegorz","Jarosz",5,"nieaktywny"
783,"aszymc","Artur","Szymczak ",1,"aktywny"
411,"mpawło","Michał","Pawłowski",9,"aktywny"
418,"kpiotr","Kamil","Piotrowski",6,"nieaktywny"
422,"igórsk","Izabela","Górska",10,"nieaktywny"
426,"jjasiń","Jakub","Jasiński",2,"nieaktywny"
429,"ikaspr","Irena","Kasprzak",1,"nieaktywny"
433,"mgajew","Maria","Gajewska",10,"aktywny"
440,"dczarn","Damian","Czarnecki",2,"aktywny"
445,"kjanow","Krzysztof","Janowski ",8,"aktywny"
449,"kszcze","Karolina","Szczepańska ",6,"aktywny"
453,"mpolak","Marcin","Polak",8,"aktywny"
457,"jwrona","Jacek","Wrona ",6,"aktywny"
460,"pleśni","Piotr","Leśniak",5,"aktywny"
464,"jtarno","Janusz","Tarnowski",4,"aktywny"
408,"mkołod","Marcin","Kołodziejczyk ",3,"zablokowany"
245,"jsikor","Jolanta","Sikora",8,"nieaktywny"
385,"ipiotr","Ireneusz","Piotrowski",6,"aktywny"
396,"ksobcz","Krystyna","Sobczak",9,"aktywny"
405,"kgórsk","Krystyna","Górska",6,"aktywny"
286,"jpawli","Jacek","Pawlik",6,"aktywny"
306,"kjaros","Krzysztof","Jarosz",4,"aktywny"
262,"igajew","Irena","Gajewska",7,"aktywny"
325,"jkwiat","Jan","Kwiatkowski",7,"nieaktywny"
337,"ljanow","Leszek","Janowski ",1,"aktywny"
349,"spasie","Sylwia","Pasieka",2,"aktywny"
360,"kczajk","Karolina","Czajkowska",10,"aktywny"
374,"eczajk","Emilia","Czajkowska",5,"nieaktywny"
420,"gpiase","Grzegorz","Piasecki",9,"aktywny"
432,"jkaźmi","Jacek","Kaźmierczak",5,"aktywny"
446,"rparty","Robert","Partyka",1,"aktywny"
456,"dmrozo","Daniel","Mrozowski ",2,"aktywny"
536,"wpawli","Waldemar","Pawlik",7,"aktywny"
545,"atomcz","Adam","Tomczak",4,"aktywny"
553,"pkozak","Paulina","Kozak",5,"aktywny"
562,"jkubia","Jarosław","Kubiak",3,"aktywny"
571,"dgrzyb","Dominika","Grzybowska",1,"aktywny"
581,"tpolak","Tadeusz","Polak",5,"aktywny"
589,"ipiąte","Igor","Piątek",8,"nieaktywny"
616,"wkwiat","Waldemar","Kwiatkowski",10,"aktywny"
702,"dleśni","Damian","Leśniak",4,"nieaktywny"
803,"jbedna","Janusz","Bednarski",5,"aktywny"
